scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes
S021,aircraft_count,B,100,240.0,66.66666666666667,0.35,137,8,8,152.4,500ft,disabled,100,7,93,5,0,339,3080,339,805.1487407426512,462.40371230900325,731.6232424315821,731.6232424315821,381.2370451953353,1112.8602876269174,2517.1551560064718,94,0.03336925558184021,0.56,0.05
S022,speed,B,50,150.0,41.666666666666664,0.35,147,8,8,152.4,500ft,disabled,50,9,41,0,0,61,308,61,847.2749454046489,234.9320317230007,348.62415781084087,348.62415781084087,167.94769377237262,516.5718515832134,1430.8181830896988,46,0.0,0.52,0.0
S023,speed,B,50,240.0,66.66666666666667,0.35,142,8,8,152.4,500ft,disabled,50,6,44,6,0,96,954,96,848.6265892188557,353.9640306585399,249.45691501227927,249.45691501227927,280.70731022567287,530.1642252379521,1500.2253486400473,43,0.3188647578594555,0.38,0.12
S024,speed,B,50,300.0,83.33333333333333,0.35,133,8,8,152.4,500ft,disabled,50,6,44,0,0,105,918,105,824.9931443530467,387.35544767379656,264.8079685025384,264.8079685025384,323.4515775282592,588.2595460307978,1705.9737603217973,47,0.0,0.68,0.0
S025,building_density,B,50,240.0,66.66666666666667,0.2,92,8,8,152.4,500ft,disabled,50,17,33,0,0,106,537,106,861.4658514542747,299.5511525347675,202.55663860802443,202.55663860802443,230.2441085466481,432.8007471546725,1135.8685556095747,46,0.0,0.66,0.0
S026,building_density,B,50,240.0,66.66666666666667,0.35,144,8,8,152.4,500ft,disabled,50,7,43,6,0,72,577,72,768.8321152324693,277.41121515078174,292.4121159681443,292.4121159681443,218.71846732459474,511.1305832927389,1404.2506422803463,45,0.24017190603529912,0.26,0.12
S027,building_density,B,50,240.0,66.66666666666667,0.5,208,8,8,152.4,500ft,disabled,50,9,41,5,0,65,372,65,771.5660662977169,236.54080199198415,282.72416765118595,282.72416765118595,166.53085844145014,449.2550260926362,1291.7886997279734,44,0.885191049220183,0.4,0.08
S028,vertiport_count,B,50,240.0,66.66666666666667,0.35,155,4,4,152.4,500ft,disabled,50,1,49,8,0,198,3693,198,967.098614854423,581.5508329918566,629.6559474860915,629.6559474860915,516.24190648013,1145.8978539662219,2888.562454098054,47,0.20663478610440505,0.34,0.16
S029,vertiport_count,B,50,240.0,66.66666666666667,0.35,145,8,8,152.4,500ft,disabled,50,14,36,0,0,76,965,76,784.6027060731609,328.40286353783193,257.93582200022297,257.93582200022297,276.13755476061965,534.0733767608426,1296.2742972156245,46,0.0,0.48,0.0
S030,vertiport_count,B,50,240.0,66.66666666666667,0.35,135,20,20,152.4,500ft,disabled,50,13,37,1,0,63,203,63,972.5312025667628,146.81894289101172,140.43507341738524,140.43507341738524,64.81939265258369,205.2544660699689,721.5818495575168,33,0.03690442079484228,0.64,0.02
