scenario_id,sweep,model,vertiport_id,aircraft_id,operation,start_s,end_s,duration_s,pad_delay_s
S059,building_density,D,6,28,takeoff,598.3404477839358,628.3404477839358,30.0,21.340447783935815
S059,building_density,D,5,28,landing,1720.1693157203392,1910.1693157203392,190.0,1052.1605088226602
S059,building_density,D,7,29,takeoff,1343.0236846585226,1373.0236846585226,30.0,740.0236846585226
S059,building_density,D,4,29,landing,1787.8663617119635,1977.8663617119635,190.0,373.77667619492627
S059,building_density,D,2,30,takeoff,5.0,35.0,30.0,0.0
S059,building_density,D,0,30,landing,73.61298820688768,263.6129882068877,190.0,0.0
S059,building_density,D,1,31,takeoff,1256.0,1286.0,30.0,0.0
S059,building_density,D,7,31,landing,1563.0236846585226,1753.0236846585226,190.0,178.5099672030076
S059,building_density,D,0,32,takeoff,1341.567561536459,1371.567561536459,30.0,463.5675615364589
S059,building_density,D,1,32,landing,1394.6255315231565,1584.6255315231565,190.0,0.0
S059,building_density,D,0,33,takeoff,643.6129882068876,673.6129882068876,30.0,456.6129882068876
S059,building_density,D,3,33,landing,744.3684536229509,934.3684536229509,190.0,0.0
S059,building_density,D,3,34,takeoff,341.0,371.0,30.0,0.0
S059,building_density,D,4,34,landing,414.55835974428794,604.5583597442879,190.0,0.0
S059,building_density,D,6,35,takeoff,332.6683591137432,362.6683591137432,30.0,154.66835911374318
S059,building_density,D,7,35,landing,963.0236846585227,1153.0236846585226,189.9999999999999,519.729200686507
S059,building_density,D,1,36,takeoff,850.8853235171795,880.8853235171795,30.0,425.8853235171795
S059,building_density,D,2,36,landing,908.3952907201874,1098.3952907201874,190.0,0.0
S059,building_density,D,4,37,takeoff,2037.8663617119635,2067.8663617119637,30.000000000000227,1029.8663617119635
S059,building_density,D,6,37,landing,2087.1362890947157,2277.1362890947157,190.0,0.0
S059,building_density,D,2,38,takeoff,1318.3952907201874,1348.3952907201874,30.0,423.3952907201874
S059,building_density,D,4,38,landing,1407.8663617119635,1597.8663617119635,190.0,45.60366476569811
S059,building_density,D,4,39,takeoff,278.0660008585146,308.0660008585146,30.0,211.0660008585146
S059,building_density,D,7,39,landing,349.13200171702925,539.1320017170292,189.99999999999994,0.0
S059,building_density,D,0,40,takeoff,1281.567561536459,1311.567561536459,30.0,381.5675615364589
S059,building_density,D,5,40,landing,1340.1693157203392,1530.1693157203392,190.0,0.0
S059,building_density,D,3,41,takeoff,307.3328824917166,337.3328824917166,30.0,18.33288249171659
S059,building_density,D,6,41,landing,408.3404477839358,598.3404477839358,190.0,0.0
S059,building_density,D,2,42,takeoff,689.0,719.0,30.0,0.0
S059,building_density,D,0,42,landing,1091.567561536459,1281.567561536459,190.0,313.9545733295712
S059,building_density,D,0,43,takeoff,1647.0082789270748,1677.0082789270748,30.0,754.0082789270748
S059,building_density,D,5,43,landing,1910.1693157203392,2100.169315720339,189.99999999999977,164.55928260938413
S059,building_density,D,4,44,takeoff,814.5975942748707,844.5975942748707,30.0,205.59759427487074
S059,building_density,D,5,44,landing,959.4063343873352,1149.4063343873352,190.0,109.38269744966965
S059,building_density,D,2,45,takeoff,862.0,892.0,30.0,53.0
S059,building_density,D,3,45,landing,1208.0075652922192,1398.0075652922192,190.0,163.67468280050252
S059,building_density,D,2,46,takeoff,1348.3952907201874,1378.3952907201874,30.0,467.3952907201874
S059,building_density,D,6,46,landing,1409.1975341828495,1599.1975341828495,190.0,0.0
S059,building_density,D,0,47,takeoff,1311.567561536459,1341.567561536459,30.0,415.5675615364589
S059,building_density,D,5,47,landing,1530.1693157203392,1720.1693157203392,190.0,160.0
S059,building_density,D,2,48,takeoff,832.0,862.0,30.0,0.0
S059,building_density,D,6,48,landing,892.8022434626622,1082.8022434626623,190.0000000000001,0.0
S059,building_density,D,1,49,takeoff,604.5099672030078,634.5099672030078,30.0,403.5099672030078
S059,building_density,D,5,49,landing,769.4063343873352,959.4063343873352,190.0,130.0
S060,vertiport_count,D,3,0,takeoff,458.0,488.0,30.0,69.0
S060,vertiport_count,D,0,0,landing,1415.300551061372,1605.300551061372,190.0,870.0435141144067
S060,vertiport_count,D,2,1,takeoff,385.0,415.0,30.0,0.0
S060,vertiport_count,D,1,1,landing,546.9491579061073,736.9491579061073,190.0,0.0
S060,vertiport_count,D,0,2,takeoff,2545.300551061372,2575.300551061372,30.0,1700.300551061372
S060,vertiport_count,D,2,2,landing,2923.9798387530664,3113.9798387530664,190.0,290.0
S060,vertiport_count,D,3,3,takeoff,965.8323313604882,995.8323313604882,30.0,468.8323313604882
S060,vertiport_count,D,0,3,landing,2045.300551061372,2235.300551061372,190.0,972.2111827539186
S060,vertiport_count,D,1,4,takeoff,1670.8474737183221,1700.8474737183221,30.0,986.8474737183221
S060,vertiport_count,D,2,4,landing,2068.8983158122146,2258.8983158122146,190.0,236.10168418778494
S060,vertiport_count,D,1,5,takeoff,1640.8474737183221,1670.8474737183221,30.0,975.8474737183221
S060,vertiport_count,D,3,5,landing,2985.1328824218604,3175.1328824218604,190.0,1188.035692688037
S060,vertiport_count,D,2,6,takeoff,1658.8983158122146,1688.8983158122146,30.0,890.8983158122146
S060,vertiport_count,D,3,6,landing,2415.1328824218604,2605.1328824218604,190.0,609.053894697256
S060,vertiport_count,D,3,7,takeoff,1219.0,1249.0,30.0,0.0
S060,vertiport_count,D,2,7,landing,2258.8983158122146,2448.8983158122146,190.0,892.7176438998249
S060,vertiport_count,D,1,8,takeoff,766.9491579061073,796.9491579061073,30.0,221.9491579061073
S060,vertiport_count,D,0,8,landing,845.3005510613722,1035.300551061372,189.9999999999999,0.0
