scenario_id,sweep,model,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S003,aircraft_count,A,20,745.0,922.9631373770428,973.4291083257743,1103.4291083257745,1109.8033155437297,177.9631373770428,177.9631373770428,130.0000000000001,307.9631373770429,922.9631373770428,952.9631373770428,1103.4291083257745,1293.4291083257745,300.0,983.3731314024405,0.0,0,0,0,0
S003,aircraft_count,A,21,469.0,672.9631373770428,723.4291083257743,723.4291083257743,729.8033155437296,203.9631373770428,203.9631373770428,0.0,203.9631373770428,672.9631373770428,702.9631373770428,723.4291083257743,913.4291083257743,300.0,983.3731314024405,0.0,0,0,0,0
S003,aircraft_count,A,22,462.0,519.9198218255848,540.7278301350929,722.3771018930886,755.6896517593831,57.91982182558479,57.91982182558479,181.64927175799573,239.56909358358052,519.9198218255848,549.9198218255848,745.6896517593831,935.6896517593831,300.0,1179.5844150046933,0.0,1,1,0,0
S003,aircraft_count,A,23,299.0,301.0,352.67123436590146,352.67123436590146,375.1210000442569,2.0,2.0,0.0,2.0,301.0,331.0,365.1210000442569,555.1210000442569,300.0,723.5463077649445,0.0,1,1,0,0
S003,aircraft_count,A,24,271.0,271.0,329.9198218255848,329.9198218255848,335.9875875817034,0.0,0.0,0.0,0.0,271.0,301.0,329.9198218255848,519.9198218255848,300.0,1124.875472132647,0.0,1,1,0,0
S003,aircraft_count,A,25,257.0,257.0,274.7121354433986,423.83509465375465,462.96313737704287,0.0,0.0,149.12295921035604,149.12295921035604,257.0,287.0,452.96313737704287,642.9631373770428,300.0,983.3731314024405,0.0,0,0,0,0
S003,aircraft_count,A,26,96.0,96.0,147.67123436590148,147.67123436590148,170.12100004425693,0.0,0.0,0.0,0.0,96.0,126.0,160.12100004425693,350.1210000442569,300.0,723.5463077649445,0.0,1,1,0,0
S003,aircraft_count,A,27,68.0,68.0,112.56800068161581,233.83509465375465,272.96313737704287,0.0,0.0,121.26709397213884,121.26709397213884,68.0,98.0,262.96313737704287,452.96313737704287,300.0,1112.566350636,0.0,1,1,0,0
S003,aircraft_count,A,28,353.0,642.9631373770428,685.8585089979671,685.8585089979671,691.9262747540857,289.9631373770428,289.9631373770428,0.0,289.9631373770428,642.9631373770428,672.9631373770428,685.8585089979671,875.8585089979671,300.0,477.13430223943806,0.0,1,1,0,0
S003,aircraft_count,A,29,855.0,952.9631373770428,1001.7380671221723,1321.7380671221722,1367.6859289333117,97.96313737704281,97.96313737704281,320.0,417.9631373770428,952.9631373770428,982.9631373770428,1357.6859289333117,1547.6859289333117,300.0,1068.505324128222,0.0,0,0,0,0
S004,aircraft_count,A,0,605.0,1323.7310578412958,1364.8759297044987,1364.8759297044987,1369.0605566563386,718.7310578412958,718.7310578412958,0.0,718.7310578412958,1323.7310578412958,1353.7310578412958,1364.8759297044987,1554.8759297044987,300.0,955.5541675622003,0.0,1,1,0,0
S004,aircraft_count,A,1,181.0,423.71517961377043,475.4315249901337,475.4315249901337,488.8651037440101,242.71517961377043,242.71517961377043,0.0,242.71517961377043,423.71517961377043,453.71517961377043,478.8651037440101,668.8651037440102,300.0,1280.0517891794434,0.0,1,1,0,0
S004,aircraft_count,A,2,454.0,1220.2310926845466,1250.5325301009098,1250.5325301009098,1253.113061812111,766.2310926845466,766.2310926845466,0.0,766.2310926845466,1220.2310926845466,1250.2310926845466,1250.5325301009098,1440.5325301009098,300.0,301.09846406905666,0.0,0,0,0,0
S004,aircraft_count,A,3,164.0,164.0,177.4740045378652,177.4740045378652,213.71517961377043,0.0,0.0,0.0,0.0,164.0,194.0,203.71517961377043,393.71517961377043,300.0,658.2052094104929,0.0,1,1,0,0
S004,aircraft_count,A,4,291.0,456.0,472.00473517054786,894.4062941968007,923.7310578412958,165.0,165.0,422.40155902625276,587.4015590262527,456.0,486.0,913.7310578412956,1103.7310578412958,300.0,955.5541675622003,0.0,1,1,0,0
S004,aircraft_count,A,5,777.0,795.0,843.43104784519,1262.1462274589603,1290.2310926845466,18.0,18.0,418.7151796137704,436.7151796137704,795.0,825.0,1280.2310926845466,1470.2310926845466,300.0,1134.2883861264447,0.0,1,1,0,0
S004,aircraft_count,A,6,250.0,250.0,262.11046558552584,266.0,270.18462695183996,0.0,0.0,3.8895344144741557,3.8895344144741557,250.0,280.0,266.0,456.0,300.0,407.0198719675425,0.0,0,0,0,0
S004,aircraft_count,A,7,566.0,566.0,603.4850041071434,935.4637254807164,942.2950925373658,0.0,0.0,331.9787213735731,331.9787213735731,566.0,596.0,935.4637254807164,1125.4637254807164,300.0,691.7404136844106,0.0,0,0,0,0
S004,aircraft_count,A,8,750.0,1543.7310578412958,1587.3236891213046,1587.3236891213046,1594.155056177954,793.7310578412958,793.7310578412958,0.0,793.7310578412958,1543.7310578412958,1573.7310578412958,1587.3236891213046,1777.3236891213046,300.0,1131.971829206645,0.0,1,1,0,0
S004,aircraft_count,A,9,699.0,766.0,772.4874810294762,826.8407227363474,829.4212544475487,67.0,67.0,54.353241706871245,121.35324170687124,766.0,796.0,826.8407227363474,1016.8407227363474,300.0,187.3493984909536,0.0,0,0,0,0
